iter	Passed	Remaining
0	2	281
1	5	269
2	8	273
3	11	286
4	14	281
5	17	269
6	20	267
7	22	263
8	26	266
9	29	261
10	31	257
11	34	254
12	37	253
13	41	255
14	44	253
15	48	253
16	51	250
17	54	249
18	57	246
19	60	243
20	63	238
21	66	235
22	69	233
23	72	228
24	75	225
25	77	221
26	80	217
27	83	215
28	86	212
29	89	208
30	92	205
31	94	201
32	97	198
33	101	196
34	103	192
35	106	189
36	109	185
37	111	182
38	114	179
39	117	175
40	119	171
41	121	167
42	124	164
43	126	161
44	128	157
45	131	153
46	132	149
47	134	145
48	136	141
49	138	138
50	139	134
51	141	130
52	143	126
53	144	123
54	146	119
55	148	116
56	149	112
57	151	109
58	153	106
59	154	103
60	156	99
61	157	96
62	159	93
63	161	90
64	162	87
65	164	84
66	166	81
67	167	79
68	169	76
69	171	73
70	172	70
71	174	67
72	176	65
73	177	62
74	179	59
75	181	57
76	182	54
77	184	52
78	186	49
79	188	47
80	189	44
81	191	42
82	192	39
83	194	36
84	195	34
85	197	32
86	199	29
87	201	27
88	202	25
89	204	22
90	205	20
91	207	18
92	209	15
93	210	13
94	212	11
95	214	8
96	215	6
97	217	4
98	219	2
99	221	0
