iter	Passed	Remaining
0	153	153652
1	155	77525
2	157	52292
3	158	39505
4	160	31881
5	161	26759
6	163	23165
7	164	20456
8	166	18316
9	167	16589
10	168	15161
11	170	14046
12	171	13040
13	172	12170
14	173	11409
15	174	10734
16	175	10137
17	176	9615
18	177	9152
19	178	8765
20	180	8408
21	181	8071
22	182	7750
23	183	7461
24	184	7195
25	185	6953
26	186	6722
27	187	6506
28	188	6312
29	190	6151
30	191	5980
31	192	5821
32	194	5712
33	196	5578
34	197	5445
35	198	5314
36	199	5194
37	200	5086
38	202	4977
39	203	4878
40	204	4777
41	205	4677
42	205	4581
43	206	4490
44	207	4406
45	209	4337
46	210	4269
47	211	4197
48	212	4125
49	213	4056
50	214	3989
51	215	3926
52	216	3864
53	217	3804
54	217	3745
55	219	3692
56	219	3637
57	220	3584
58	221	3534
59	223	3500
60	224	3458
61	225	3416
62	226	3373
63	227	3328
64	228	3288
65	229	3253
66	230	3215
67	231	3176
68	232	3140
69	233	3107
70	235	3078
71	236	3047
72	238	3030
73	240	3003
74	241	2974
75	242	2944
76	243	2919
77	244	2892
78	245	2864
79	246	2837
80	247	2811
81	248	2785
82	249	2753
83	250	2726
84	250	2701
85	251	2675
86	253	2656
87	254	2638
88	256	2625
89	257	2602
90	258	2582
91	259	2560
92	260	2541
93	261	2522
94	262	2503
95	263	2484
96	264	2464
97	265	2445
98	266	2424
99	267	2410
100	270	2407
101	271	2393
102	272	2375
103	273	2357
104	274	2341
105	275	2324
106	276	2308
107	277	2293
108	278	2277
109	279	2261
110	280	2246
111	281	2232
112	283	2222
113	292	2272
114	310	2387
115	313	2386
116	314	2375
117	316	2367
118	318	2356
119	319	2344
120	321	2335
121	322	2321
122	323	2309
123	325	2296
124	327	2291
125	328	2279
126	329	2267
127	331	2257
128	332	2245
129	333	2232
130	334	2221
131	335	2208
132	336	2194
133	337	2182
134	338	2170
135	339	2157
136	340	2144
137	341	2136
138	343	2125
139	344	2116
140	345	2106
141	346	2094
142	347	2084
143	348	2072
144	349	2062
145	350	2051
146	351	2041
147	352	2030
148	353	2018
149	354	2007
150	355	1997
151	356	1990
152	358	1981
153	359	1974
154	360	1966
155	361	1957
156	362	1947
157	363	1937
158	364	1928
159	365	1919
160	366	1908
161	367	1898
162	367	1889
163	368	1880
164	369	1871
165	370	1862
166	373	1863
167	374	1857
168	376	1850
169	377	1841
170	378	1833
171	379	1827
172	380	1819
173	381	1812
174	382	1804
175	383	1796
176	384	1788
177	386	1784
178	387	1778
179	389	1773
180	390	1767
181	391	1761
182	392	1753
183	393	1746
184	394	1739
185	395	1732
186	396	1725
187	397	1717
188	398	1709
189	399	1702
190	400	1694
191	401	1689
192	402	1684
193	403	1677
194	404	1670
195	405	1663
196	406	1656
197	407	1651
198	408	1646
199	410	1640
200	410	1633
201	411	1627
202	412	1621
203	413	1613
204	414	1607
205	415	1601
206	416	1597
207	418	1592
208	419	1586
209	420	1580
210	421	1574
211	421	1567
212	422	1562
213	423	1556
214	424	1550
215	425	1544
216	426	1539
217	427	1533
218	428	1527
219	429	1521
220	430	1516
221	431	1513
222	433	1509
223	434	1503
224	434	1498
225	436	1495
226	437	1489
227	438	1485
228	439	1480
229	440	1475
230	441	1470
231	443	1466
232	443	1461
233	444	1455
234	446	1452
235	447	1448
236	448	1445
237	450	1440
238	450	1435
239	451	1430
240	452	1425
241	453	1420
242	454	1417
243	455	1412
244	456	1407
245	457	1402
246	458	1397
247	459	1392
248	460	1387
249	461	1385
250	462	1381
251	463	1377
252	464	1372
253	465	1367
254	466	1362
255	467	1358
256	468	1353
257	469	1349
258	469	1344
259	470	1339
260	471	1335
261	472	1331
262	473	1327
263	474	1323
264	476	1322
265	477	1318
266	478	1314
267	479	1310
268	480	1306
269	481	1302
270	482	1298
271	483	1294
272	484	1289
273	485	1286
274	486	1282
275	487	1278
276	488	1274
277	489	1270
278	491	1269
279	492	1267
280	494	1264
281	494	1260
282	495	1256
283	497	1254
284	498	1250
285	499	1246
286	500	1242
287	500	1238
288	501	1234
289	502	1231
290	504	1228
291	506	1229
292	508	1226
293	509	1222
294	510	1219
295	511	1215
296	512	1211
297	512	1208
298	513	1204
299	514	1200
300	515	1197
301	516	1193
302	517	1190
303	518	1186
304	519	1183
305	520	1180
306	522	1178
307	523	1175
308	523	1171
309	524	1168
310	525	1165
311	526	1162
312	527	1158
313	528	1155
314	529	1152
315	530	1149
316	532	1147
317	534	1145
318	535	1142
319	536	1139
320	537	1136
321	538	1133
322	539	1130
323	540	1127
324	541	1125
325	543	1122
326	544	1120
327	545	1117
328	546	1114
329	548	1113
330	549	1111
331	551	1108
332	552	1106
333	553	1103
334	554	1101
335	556	1100
336	558	1098
337	559	1095
338	560	1093
339	561	1090
340	563	1089
341	564	1086
342	566	1084
343	567	1081
344	568	1078
345	569	1075
346	570	1073
347	571	1070
348	572	1068
349	573	1065
350	574	1062
351	575	1059
352	578	1061
353	580	1059
354	581	1056
355	582	1053
356	583	1051
357	585	1050
358	586	1047
359	587	1045
360	589	1042
361	590	1040
362	591	1038
363	593	1036
364	594	1035
365	595	1032
366	596	1029
367	597	1026
368	599	1025
369	600	1022
370	601	1019
371	602	1017
372	603	1014
373	604	1012
374	606	1010
375	608	1009
376	609	1006
377	610	1004
378	611	1001
379	612	999
380	613	996
381	614	994
382	615	991
383	616	988
384	617	986
385	618	983
386	619	980
387	620	978
388	621	976
389	622	974
390	624	972
391	625	969
392	625	966
393	627	964
394	628	962
395	629	959
396	630	957
397	631	954
398	632	952
399	633	949
400	634	947
401	634	944
402	636	943
403	637	941
404	639	938
405	640	936
406	641	934
407	642	932
408	644	930
409	645	928
410	646	926
411	647	923
412	648	921
413	649	919
414	651	918
415	653	917
416	654	915
417	655	913
418	657	911
419	658	908
420	659	906
421	660	904
422	660	901
423	661	899
424	662	896
425	663	894
426	664	891
427	666	890
428	667	888
429	668	886
430	670	885
431	671	883
432	673	881
433	674	879
434	675	877
435	676	875
436	677	872
437	678	870
438	679	868
439	681	866
440	682	865
441	683	863
442	685	861
443	686	859
444	687	856
445	688	854
446	689	852
447	690	850
448	691	848
449	692	846
450	693	844
451	694	841
452	696	840
453	698	839
454	699	837
455	699	834
456	700	832
457	701	830
458	703	829
459	705	828
460	706	826
461	708	824
462	709	822
463	710	820
464	711	818
465	712	816
466	713	814
467	714	812
468	715	810
469	717	809
470	719	807
471	720	805
472	721	803
473	722	801
474	723	799
475	724	798
476	726	796
477	727	794
478	728	792
479	729	790
480	730	788
481	731	786
482	733	785
483	734	783
484	736	781
485	737	779
486	737	777
487	738	775
488	740	773
489	741	771
490	742	769
491	743	768
492	745	766
493	745	764
494	747	762
495	748	760
496	750	759
497	751	757
498	752	755
499	753	753
500	754	751
501	755	749
502	756	747
503	757	745
504	758	743
505	759	741
506	760	739
507	761	737
508	763	736
509	764	734
510	765	732
511	766	730
512	767	728
513	768	727
514	770	725
515	771	723
516	772	721
517	774	720
518	775	718
519	777	717
520	778	715
521	779	713
522	780	711
523	781	710
524	782	708
525	784	706
526	785	704
527	786	702
528	787	700
529	788	698
530	788	696
531	789	694
532	792	694
533	794	692
534	795	691
535	796	689
536	797	687
537	798	685
538	799	683
539	800	682
540	802	680
541	803	678
542	804	676
543	805	675
544	806	673
545	807	671
546	809	670
547	809	668
548	811	666
549	813	665
550	814	663
551	815	661
552	816	660
553	817	658
554	818	656
555	819	654
556	820	652
557	822	651
558	823	649
559	824	647
560	825	645
561	826	644
562	827	642
563	828	640
564	829	638
565	830	636
566	831	635
567	832	633
568	833	631
569	834	629
570	835	627
571	837	626
572	838	625
573	840	623
574	841	621
575	842	620
576	843	618
577	844	616
578	845	614
579	846	613
580	847	611
581	848	609
582	850	608
583	851	606
584	853	605
585	854	603
586	855	601
587	856	600
588	857	598
589	858	596
590	860	595
591	861	593
592	863	592
593	864	590
594	865	589
595	866	587
596	868	586
597	870	584
598	871	583
599	872	581
600	873	580
601	875	578
602	876	576
603	877	575
604	878	573
605	879	571
606	880	570
607	882	568
608	883	567
609	884	565
610	885	563
611	886	562
612	888	560
613	889	559
614	890	557
615	891	555
616	892	554
617	893	552
618	894	550
619	896	549
620	897	547
621	898	546
622	899	544
623	900	542
624	902	541
625	903	539
626	904	538
627	905	536
628	906	534
629	907	532
630	908	531
631	909	529
632	910	527
633	911	526
634	913	525
635	915	523
636	917	522
637	917	520
638	918	519
639	919	517
640	920	515
641	921	513
642	922	512
643	923	510
644	924	509
645	926	507
646	927	506
647	929	504
648	930	503
649	931	501
650	932	499
651	933	498
652	934	496
653	935	494
654	936	493
655	937	491
656	937	489
657	938	488
658	940	486
659	941	484
660	943	483
661	944	482
662	945	480
663	946	479
664	947	477
665	948	475
666	950	474
667	951	472
668	952	471
669	953	469
670	954	467
671	955	466
672	956	464
673	958	463
674	959	462
675	961	460
676	962	459
677	963	457
678	964	456
679	965	454
680	966	452
681	968	451
682	970	450
683	971	448
684	972	447
685	974	445
686	975	444
687	976	442
688	977	441
689	978	439
690	979	438
691	980	436
692	982	435
693	984	433
694	985	432
695	986	430
696	987	429
697	988	427
698	989	426
699	990	424
700	991	422
701	992	421
702	993	419
703	994	418
704	995	416
705	996	415
706	998	413
707	999	412
708	1001	410
709	1002	409
710	1004	408
711	1006	406
712	1007	405
713	1008	403
714	1009	402
715	1010	400
716	1011	399
717	1012	397
718	1014	396
719	1015	395
720	1017	393
721	1018	392
722	1019	390
723	1020	389
724	1021	387
725	1022	386
726	1024	384
727	1025	383
728	1027	381
729	1028	380
730	1030	379
731	1031	377
732	1032	376
733	1033	374
734	1034	373
735	1036	371
736	1037	370
737	1038	368
738	1040	367
739	1041	365
740	1042	364
741	1044	363
742	1045	361
743	1046	360
744	1047	358
745	1048	356
746	1049	355
747	1050	353
748	1051	352
749	1052	350
750	1053	349
751	1054	347
752	1055	346
753	1057	344
754	1058	343
755	1060	342
756	1061	340
757	1062	339
758	1063	337
759	1064	336
760	1065	334
761	1066	333
762	1067	331
763	1068	330
764	1070	328
765	1071	327
766	1073	326
767	1075	324
768	1076	323
769	1077	321
770	1077	320
771	1078	318
772	1079	317
773	1080	315
774	1081	314
775	1082	312
776	1083	310
777	1084	309
778	1085	307
779	1086	306
780	1087	304
781	1089	303
782	1091	302
783	1092	300
784	1093	299
785	1094	298
786	1095	296
787	1096	295
788	1097	293
789	1098	292
790	1099	290
791	1100	289
792	1101	287
793	1103	286
794	1104	284
795	1106	283
796	1107	282
797	1108	280
798	1109	279
799	1110	277
800	1111	276
801	1112	274
802	1113	273
803	1114	271
804	1114	270
805	1115	268
806	1116	267
807	1118	265
808	1120	264
809	1121	263
810	1123	261
811	1124	260
812	1125	258
813	1126	257
814	1127	255
815	1128	254
816	1129	253
817	1130	251
818	1132	250
819	1133	248
820	1135	247
821	1136	246
822	1137	244
823	1138	243
824	1139	241
825	1140	240
826	1141	238
827	1142	237
828	1143	235
829	1144	234
830	1145	232
831	1146	231
832	1147	230
833	1149	228
834	1150	227
835	1152	225
836	1153	224
837	1154	223
838	1155	221
839	1156	220
840	1157	218
841	1158	217
842	1159	215
843	1160	214
844	1161	213
845	1162	211
846	1163	210
847	1165	208
848	1166	207
849	1167	205
850	1168	204
851	1168	203
852	1169	201
853	1171	200
854	1171	198
855	1172	197
856	1173	195
857	1174	194
858	1175	192
859	1176	191
860	1177	190
861	1179	188
862	1180	187
863	1181	186
864	1182	184
865	1183	183
866	1184	181
867	1185	180
868	1186	178
869	1187	177
870	1188	176
871	1189	174
872	1190	173
873	1191	171
874	1193	170
875	1194	169
876	1195	167
877	1196	166
878	1198	164
879	1199	163
880	1200	162
881	1201	160
882	1202	159
883	1203	157
884	1205	156
885	1206	155
886	1208	153
887	1210	152
888	1211	151
889	1212	149
890	1213	148
891	1215	147
892	1216	145
893	1217	144
